"epoch","vit-base-patch16-224-in21k_flowers102 - val/f1_macro","vit-base-patch16-224-in21k_flowers102 - val/f1_macro__MIN","vit-base-patch16-224-in21k_flowers102 - val/f1_macro__MAX","vit-base-patch16-224-in21k_flowers102 - _step","vit-base-patch16-224-in21k_flowers102 - _step__MIN","vit-base-patch16-224-in21k_flowers102 - _step__MAX"
"0","0.17370209097862244","0.17370209097862244","0.17370209097862244","16","16","16"
"1","0.6222429275512695","0.6222429275512695","0.6222429275512695","34","34","34"
"2","0.8532795310020447","0.8532795310020447","0.8532795310020447","52","52","52"
"3","0.9196115136146545","0.9196115136146545","0.9196115136146545","70","70","70"
"4","0.9426565170288086","0.9426565170288086","0.9426565170288086","88","88","88"
"5","0.9529937505722046","0.9529937505722046","0.9529937505722046","106","106","106"
"6","0.9603330492973328","0.9603330492973328","0.9603330492973328","124","124","124"
"7","0.9609071016311646","0.9609071016311646","0.9609071016311646","142","142","142"
"8","0.9682832956314087","0.9682832956314087","0.9682832956314087","160","160","160"
"9","0.9680858850479126","0.9680858850479126","0.9680858850479126","178","178","178"
"10","0.9682560563087463","0.9682560563087463","0.9682560563087463","196","196","196"
"11","0.9756217002868652","0.9756217002868652","0.9756217002868652","214","214","214"
"12","0.9747068285942078","0.9747068285942078","0.9747068285942078","232","232","232"
"13","0.9789959192276001","0.9789959192276001","0.9789959192276001","250","250","250"
"14","0.9770495891571045","0.9770495891571045","0.9770495891571045","268","268","268"
"15","0.9768539667129517","0.9768539667129517","0.9768539667129517","286","286","286"
"16","0.97795569896698","0.97795569896698","0.97795569896698","304","304","304"
"17","0.979053258895874","0.979053258895874","0.979053258895874","322","322","322"
"18","0.9800599813461304","0.9800599813461304","0.9800599813461304","340","340","340"
"19","0.9770612120628357","0.9770612120628357","0.9770612120628357","358","358","358"
"20","0.9758433103561401","0.9758433103561401","0.9758433103561401","376","376","376"
"21","0.9769943952560425","0.9769943952560425","0.9769943952560425","394","394","394"
"22","0.9779337048530579","0.9779337048530579","0.9779337048530579","412","412","412"
"23","0.9760299921035767","0.9760299921035767","0.9760299921035767","430","430","430"
"24","0.9780802130699158","0.9780802130699158","0.9780802130699158","448","448","448"
"25","0.9741158485412598","0.9741158485412598","0.9741158485412598","466","466","466"
"26","0.9781612157821655","0.9781612157821655","0.9781612157821655","484","484","484"
"27","0.9770997166633606","0.9770997166633606","0.9770997166633606","502","502","502"
"28","0.9761019945144653","0.9761019945144653","0.9761019945144653","520","520","520"
"29","0.9761590361595154","0.9761590361595154","0.9761590361595154","538","538","538"
"30","0.9761297106742859","0.9761297106742859","0.9761297106742859","556","556","556"
"31","0.9739396572113037","0.9739396572113037","0.9739396572113037","574","574","574"
"32","0.9783471822738647","0.9783471822738647","0.9783471822738647","592","592","592"
"33","0.9730285406112671","0.9730285406112671","0.9730285406112671","610","610","610"
"34","0.9762669801712036","0.9762669801712036","0.9762669801712036","628","628","628"
"35","0.9763035774230957","0.9763035774230957","0.9763035774230957","646","646","646"
"36","0.9741570353507996","0.9741570353507996","0.9741570353507996","664","664","664"
"37","0.9753645062446594","0.9753645062446594","0.9753645062446594","682","682","682"
"38","0.974278450012207","0.974278450012207","0.974278450012207","700","700","700"
"39","0.976344883441925","0.976344883441925","0.976344883441925","718","718","718"
"40","0.9742602705955505","0.9742602705955505","0.9742602705955505","736","736","736"
"41","0.9732773900032043","0.9732773900032043","0.9732773900032043","754","754","754"
"42","0.9723385572433472","0.9723385572433472","0.9723385572433472","772","772","772"
"43","0.9721341133117676","0.9721341133117676","0.9721341133117676","790","790","790"
"44","0.9723836779594421","0.9723836779594421","0.9723836779594421","808","808","808"
"45","0.9741383790969849","0.9741383790969849","0.9741383790969849","826","826","826"
"46","0.9732955694198608","0.9732955694198608","0.9732955694198608","844","844","844"
"47","0.9731742143630981","0.9731742143630981","0.9731742143630981","862","862","862"
"48","0.9744647741317749","0.9744647741317749","0.9744647741317749","880","880","880"
"49","0.9752613306045532","0.9752613306045532","0.9752613306045532","898","898","898"
"50","0.9723385572433472","0.9723385572433472","0.9723385572433472","916","916","916"
"51","0.9753644466400146","0.9753644466400146","0.9753644466400146","934","934","934"
"52","0.9743357300758362","0.9743357300758362","0.9743357300758362","952","952","952"
"53","0.9723809957504272","0.9723809957504272","0.9723809957504272","970","970","970"
"54","0.972513735294342","0.972513735294342","0.972513735294342","988","988","988"
"55","0.9743590950965881","0.9743590950965881","0.9743590950965881","1006","1006","1006"
"56","0.971298336982727","0.971298336982727","0.971298336982727","1024","1024","1024"
"57","0.9733762145042419","0.9733762145042419","0.9733762145042419","1042","1042","1042"
"58","0.9754875898361206","0.9754875898361206","0.9754875898361206","1060","1060","1060"
"59","0.9733787178993225","0.9733787178993225","0.9733787178993225","1078","1078","1078"
"60","0.9744015336036682","0.9744015336036682","0.9744015336036682","1096","1096","1096"
"61","0.9734211564064026","0.9734211564064026","0.9734211564064026","1114","1114","1114"
"62","0.9735686182975769","0.9735686182975769","0.9735686182975769","1132","1132","1132"
"63","0.9726594090461731","0.9726594090461731","0.9726594090461731","1150","1150","1150"
"64","0.9724425077438354","0.9724425077438354","0.9724425077438354","1168","1168","1168"
"65","0.9723808765411377","0.9723808765411377","0.9723808765411377","1186","1186","1186"
"66","0.9725309610366821","0.9725309610366821","0.9725309610366821","1204","1204","1204"
"67","0.9716348648071289","0.9716348648071289","0.9716348648071289","1222","1222","1222"
"68","0.9723384380340576","0.9723384380340576","0.9723384380340576","1240","1240","1240"
"69","0.9727633595466614","0.9727633595466614","0.9727633595466614","1258","1258","1258"
"70","0.9727209210395813","0.9727209210395813","0.9727209210395813","1276","1276","1276"
"71","0.9705947041511536","0.9705947041511536","0.9705947041511536","1294","1294","1294"
"72","0.9705947041511536","0.9705947041511536","0.9705947041511536","1312","1312","1312"
"73","0.9716348648071289","0.9716348648071289","0.9716348648071289","1330","1330","1330"
"74","0.972613513469696","0.972613513469696","0.972613513469696","1348","1348","1348"
"75","0.971680760383606","0.971680760383606","0.971680760383606","1366","1366","1366"
"76","0.9715307950973511","0.9715307950973511","0.9715307950973511","1384","1384","1384"
"77","0.9726594090461731","0.9726594090461731","0.9726594090461731","1402","1402","1402"
"78","0.9695969820022583","0.9695969820022583","0.9695969820022583","1420","1420","1420"
"79","0.971680760383606","0.971680760383606","0.971680760383606","1438","1438","1438"
"80","0.9695969820022583","0.9695969820022583","0.9695969820022583","1456","1456","1456"
"81","0.9727209210395813","0.9727209210395813","0.9727209210395813","1474","1474","1474"
"82","0.9706371426582336","0.9706371426582336","0.9706371426582336","1492","1492","1492"
"83","0.971723198890686","0.971723198890686","0.971723198890686","1510","1510","1510"
"84","0.9715733528137207","0.9715733528137207","0.9715733528137207","1528","1528","1528"
"85","0.9727633595466614","0.9727633595466614","0.9727633595466614","1546","1546","1546"
"86","0.9726594090461731","0.9726594090461731","0.9726594090461731","1564","1564","1564"
"87","0.9727633595466614","0.9727633595466614","0.9727633595466614","1582","1582","1582"
"88","0.9727209210395813","0.9727209210395813","0.9727209210395813","1600","1600","1600"
"89","0.971723198890686","0.971723198890686","0.971723198890686","1618","1618","1618"
"90","0.971723198890686","0.971723198890686","0.971723198890686","1636","1636","1636"
"91","0.971680760383606","0.971680760383606","0.971680760383606","1654","1654","1654"
"92","0.971723198890686","0.971723198890686","0.971723198890686","1672","1672","1672"
"93","0.9716808199882507","0.9716808199882507","0.9716808199882507","1690","1690","1690"
"94","0.971680760383606","0.971680760383606","0.971680760383606","1708","1708","1708"
"95","0.971680760383606","0.971680760383606","0.971680760383606","1726","1726","1726"
"96","0.971680760383606","0.971680760383606","0.971680760383606","1744","1744","1744"
"97","0.9727209210395813","0.9727209210395813","0.9727209210395813","1762","1762","1762"
"98","0.9727209210395813","0.9727209210395813","0.9727209210395813","1780","1780","1780"
"99","0.971723198890686","0.971723198890686","0.971723198890686","1798","1798","1798"
